# MCMC Posterior Means:
Amplitude: 37.7629
Mean: 6118.5772
Sigma: 8.3615
Polynomial Coefficients: [1.0713654961462675e-05, -0.19641061678285768, 1200.2130980479176, -2444594.446480425]
Chi2: 3.6790e+01
Chi2_nu: 5.1097e-01

# Wavelength  TotalFit  Gaussian  Continuum
6016.755575  56.498129  0.000000  56.498129
6018.687935  56.969986  0.000000  56.969986
6020.620295  57.419706  0.000000  57.419706
6022.552655  57.847753  0.000000  57.847753
6024.485015  58.254592  0.000000  58.254592
6026.417375  58.640685  0.000000  58.640685
6028.349736  59.006497  0.000000  59.006497
6030.282096  59.352491  0.000000  59.352491
6032.214456  59.679132  0.000000  59.679132
6034.146816  59.986883  0.000000  59.986883
6036.079176  60.276208  0.000000  60.276208
6038.011537  60.547571  0.000000  60.547571
6039.943897  60.801436  0.000000  60.801436
6041.876257  61.038266  0.000000  61.038266
6043.808617  61.258525  0.000000  61.258525
6045.740977  61.462678  0.000000  61.462678
6047.673337  61.651187  0.000000  61.651187
6049.605698  61.824517  0.000000  61.824517
6051.538058  61.983132  0.000000  61.983132
6053.470418  62.127495  0.000000  62.127495
6055.402778  62.258071  0.000000  62.258071
6057.335138  62.375322  0.000000  62.375322
6059.267499  62.479714  0.000000  62.479714
6061.199859  62.571709  0.000000  62.571709
6063.132219  62.651772  0.000000  62.651772
6065.064579  62.720366  0.000000  62.720366
6066.996939  62.777955  0.000000  62.777955
6068.929299  62.825004  0.000001  62.825003
6070.861660  62.861977  0.000003  62.861974
6072.794020  62.889344  0.000012  62.889332
6074.726380  62.907580  0.000040  62.907540
6076.658740  62.917194  0.000132  62.917063
6078.591100  62.918772  0.000408  62.918363
6080.523461  62.913107  0.001201  62.911906
6082.455821  62.901501  0.003347  62.898154
6084.388181  62.886416  0.008844  62.877572
6086.320541  62.872777  0.022153  62.850624
6088.252901  62.870377  0.052604  62.817773
6090.185261  62.897900  0.118417  62.779482
6092.117622  62.988923  0.252706  62.736217
6094.049982  63.199675  0.511235  62.688440
6095.982342  63.617079  0.980463  62.636616
6097.914702  64.363780  1.782572  62.581209
6099.847062  65.595014  3.072332  62.522681
6101.779423  67.481393  5.019896  62.461498
6103.711783  70.173589  7.775467  62.398122
6105.644143  73.750323  11.417304  62.333018
6107.576503  78.159654  15.893004  62.266650
6109.508863  83.172150  20.972669  62.199481
6111.441223  88.368526  26.236551  62.131975
6113.373584  93.179258  31.114662  62.064596
6115.305944  96.978527  34.980720  61.997807
6140.426626  62.636985  1.242623  61.394362
6142.358986  62.045966  0.661420  61.384546
6144.291347  61.716028  0.333750  61.382278
6146.223707  61.547673  0.159650  61.388023
6148.156067  61.474640  0.072397  61.402243
6150.088427  61.456526  0.031123  61.425403
6152.020787  61.470650  0.012684  61.457966
6153.953147  61.505297  0.004900  61.500397
6155.885508  61.554953  0.001795  61.553158
6157.817868  61.617338  0.000623  61.616715
6159.750228  61.691735  0.000205  61.691530
6161.682588  61.778132  0.000064  61.778068
6163.614948  61.876811  0.000019  61.876792
6165.547309  61.988172  0.000005  61.988166
6167.479669  62.112656  0.000001  62.112655
6169.412029  62.250722  0.000000  62.250721
6171.344389  62.402829  0.000000  62.402829
6173.276749  62.569443  0.000000  62.569443
6175.209109  62.751026  0.000000  62.751026
6177.141470  62.948042  0.000000  62.948042
6179.073830  63.160955  0.000000  63.160955
6181.006190  63.390228  0.000000  63.390228
6182.938550  63.636327  0.000000  63.636327
6184.870910  63.899714  0.000000  63.899714
6186.803271  64.180853  0.000000  64.180853
6188.735631  64.480208  0.000000  64.480208
6190.667991  64.798243  0.000000  64.798243
